code_insee,beneficiaire_trans_eco,moyenne_conso_agri_hab,moyenne_conso_indus_hab,moyenne_conso_tertiaire_hab,moyenne_conso_residentiel_hab,moyenne_conso_totale_hab,emissions_ges,nb_actes_france_renov,friche,ecoquartiers,part_residences_secondaires,beneficiaire_prog,climat,gridens7,superf_choro,departement,gare_tgv,part_trajets_voiture,med_disp,p_pop,CSP_maire,com_variation_encours_dette_ha_pct,part_inactifs,part_actifs,dependance_eco,abstention_municipales,taux_creation_ent,total_entreprises,part_licencies_sportifs,part_jeunes_sans_diplome
22001,0,2.9940710386990967,5.033557046979865e-4,0.6311812503015239,3.688904893555705,7.378016919813566,14871,86,2,0,12,0,Autre,7,24.09,22,0,85.7,20300,596,12,18.9,12.751677852348994,47.14765100671141,107,17.4,15,20,23.825503355704697,9.1
22002,0,1.2838864817628681,0.03212040639293633,0.17320575505619046,3.2488646498617255,4.775225955792664,8621,35,0,0,2,0,Autre,5,12.2,22,0,90.2,23570,1148,54,-39.3,11.062717770034842,50.522648083623686,96,53.8,12.1,33,30.836236933797913,4
22003,0,0,0,0.524097939103016,2.908467544149731,3.472740226610636,3028,47,0,0,3.4,0,Autre,6,6.38,22,0,91.1,21780,920,56,99.8,14.23913043478261,48.80434782608696,113,53.7,36.7,30,35.76086956521739,0
22004,0,0.20032453955605767,0.675331736719282,1.2677909718680591,3.034876728667632,5.20314987752525,29130,46,6,0,5.5,0,Autre,5,36.41,22,0,88.5,21020,4810,33,-34.1,17.234927234927238,40.54054054054054,126,44.8,12.6,238,24.282744282744282,12.4
22005,0,0.12135799360916999,0.08290515203907659,1.1511036879606928,3.5329416308946118,4.926876956869469,4136,10,3,0,16.8,0,Autre,5,14.11,22,0,79,18770,1029,77,-14.5,14.188532555879494,42.3712342079689,140,22.9,18.8,64,27.89115646258503,2.6
22006,0,0.43523008564391813,0,0.09726892469024219,3.6938048561690895,4.22630386650325,2468,24,1,0,10.1,0,Autre,6,3.23,22,0,95.5,19460,273,43,-13.9,16.117216117216117,42.49084249084249,114,36,0,11,20.146520146520146,33.3
22008,0,0.004289267192326474,0.0035404948974437763,1.837908573059294,3.240221727388602,5.111955625832766,2273,82,1,0,5.3,0,Autre,5,4.99,22,0,95.7,22640,1137,74,34.3,14.42392260334213,44.59102902374671,126,53.5,25.9,54,22.867194371152156,10.3
22009,0,1.7447964425925724,0,0,3.979723990536029,5.724520433128601,6024,16,0,0,21.7,0,Autre,7,9.97,22,0,66.7,18080,162,71,-31.6,14.19753086419753,38.2716049382716,138,33.3,60,5,8.024691358024691,25
22011,0,0.4542295628758787,0.08231802369041459,0.19260833093981353,3.596659739805268,4.330510089706104,10698,12,0,0,3.8,0,Autre,6,27.12,22,0,94.1,21140,1054,43,-42.2,12.808349146110057,47.24857685009488,106,26.5,16.7,42,29.506641366223906,3
22012,0,1.3927766746900645,0.061473395844440594,0.08299674615310312,3.291963961241288,4.838590436226077,10752,52,1,0,15.4,0,Autre,6,10.91,22,0,88.9,21820,886,48,-35.7,14.672686230248308,44.01805869074492,128,40.2,11.4,44,24.37923250564334,10.6
22013,0,0.37468604414475165,0.10031822040629206,0.5571619293792557,3.796045673247305,4.851258986548101,29251,2,2,0,9.9,0,Autre,7,71.86,22,1,83,20940,2125,74,10,15.2,41.27058823529412,134,37.7,16.7,120,20.517647058823528,16.9
22014,0,0.6179024103971451,0.6300272749799688,0.4399952993423472,3.7758093050234467,5.513656356426082,15750,77,1,0,15.2,0,Autre,6,22.23,22,0,80,20560,1182,64,-49.2,13.282571912013536,44.75465313028765,117,49,7.8,51,16.83587140439932,10.3
22015,0,1.2230764160187848,1.093296713815134,0.13426824388379416,3.1553473446620313,5.629704306617782,8792,108,2,1,5.8,0,Autre,5,24.95,22,0,92,22170,1696,34,-28.4,11.96933962264151,49.528301886792455,106,53.6,19.7,76,17.86556603773585,3.8
22016,0,0.14917363418035873,1.3214798320128445,4.586387392286993,10.485055485001984,16.584895485529323,2622,0,0,0,77.2,0,Mer,6,3.09,22,0,15.3,23890,377,74,2866.6,11.140583554376658,44.03183023872679,138,10.1,5.1,79,18.037135278514587,8.1
22018,0,0.3060667584166592,0,0.013005840381130895,4.164868670973097,4.483941269770886,2526,2,1,0,16,0,Autre,7,8.14,22,0,81.7,20330,291,74,-29.8,18.900343642611684,42.61168384879725,119,38.4,18.2,11,13.745704467353953,26
22019,0,1.779278122813754,0,0.025898805876795352,3.011924397141524,4.817101325832073,7843,9,2,0,6.7,0,Autre,6,9.38,22,0,94.6,22060,495,12,-25.4,9.696969696969697,48.888888888888886,108,53.3,6.2,16,27.474747474747474,0
22020,1,0.2323313272623952,3.6889084200958617,1.5301249873069653,2.9903713292837466,8.478821612140226,28838,276,2,0,5.7,0,Autre,5,35.21,22,1,86,21820,2910,72,171.7,13.23024054982818,40.756013745704465,139,57.8,13.5,156,26.872852233676976,8.9
22021,0,0.042623419484698895,0.16807825937448792,0.14360837299047388,3.5862354878865315,3.94469529383984,4338,96,2,0,4.3,0,Autre,6,11.83,22,0,88.2,20840,1166,75,-56.8,13.293310463121784,48.113207547169814,109,39.3,20.4,49,21.355060034305318,7.3
22023,0,1.0510335363707215,0,0.09022526385309328,3.7114041517064904,4.852662951930306,5684,0,1,0,26.7,0,Autre,7,31.23,22,0,75,19380,415,12,-31.9,17.10843373493976,40.24096385542168,156,23.2,7.7,26,12.048192771084338,0
22024,1,0.7404887642058466,5.2986209239086905,0.09616753247897478,4.096580923297017,10.231858143890529,8514,0,2,0,21.3,0,Autre,7,14.32,22,0,52.5,17220,227,23,-23,14.537444933920703,40.08810572687225,126,31,28.6,7,34.36123348017621,0
22025,0,0.967126108348922,0.06916124211408593,1.1714860820114565,3.62529520133568,5.862620026849135,11615,9,5,0,14,0,Autre,5,33.03,22,1,86.2,19520,2233,71,3.3,17.68920734437976,29.825347066726376,180,32.8,10.9,156,14.867890729959695,13.4
22026,0,0.19031714693333845,0,0.14162565024385235,3.3987606411554494,3.7325258194877127,5810,49,1,0,5.9,0,Autre,6,8.48,22,0,87.5,20860,737,74,56.6,10.583446404341927,48.575305291723204,117,40,14.3,35,17.91044776119403,5.9
22027,0,4.727737727354644,0.08593177010983524,0.12179840858667047,4.296190556634851,9.231658462686001,12406,34,0,0,12.5,0,Autre,6,18.02,22,0,63.3,20360,414,11,-31.2,17.632850241545896,41.78743961352657,120,36.5,26.3,19,13.043478260869565,0
22028,1,0.6678689456053147,0.34029250641018227,1.856819533277926,3.4744334823571066,6.343128906234261,4719,388,2,0,15.6,0,Autre,6,11.66,22,0,88.4,21430,842,38,-56,14.133016627078385,47.86223277909738,108,39.1,9.8,41,30.04750593824228,5.1
22029,0,5.167989176005371,5.559029512516469,0.20343648336035178,4.926296724604854,15.908373850683162,19170,16,2,0,18,0,Autre,7,32.14,22,0,62.4,19970,345,23,-27.5,16.81159420289855,44.05797101449275,123,8,28.6,21,16.52173913043478,11.3
22030,0,0.09930049986483214,0.024636165382778442,0.3435188713667936,2.96220300499048,3.4296585416048844,5309,95,0,0,6,0,Autre,5,7.07,22,0,83.4,22090,899,74,-7.7,13.681868743047831,46.0511679644049,111,49.7,24.3,37,27.474972191323694,3.8
22031,0,0.6622982001291424,4.051250823750522,4.840351094629444,4.207422545905233,13.778122946370571,18843,4,3,0,17.5,0,Autre,7,42.06,22,0,87.3,18140,653,13,-43.8,16.079632465543643,42.266462480857584,111,29,8.5,47,13.016845329249618,4.5
22032,1,0.45387069421299897,0.053387498059779756,1.219107629288645,3.2735860902008422,5.028238455031339,28185,263,3,0,5.8,0,Autre,5,31.36,22,1,76.8,21040,2503,33,-49.8,12.105473431881741,42.788653615661204,127,59.7,15.8,152,17.898521773871355,9.1
22033,0,0.05713829743541063,0.07869126164694032,0.9451317273330814,4.891781713543478,6.031704990723231,4594,39,4,0,47.4,0,Autre,6,11.65,22,0,90.9,20610,361,74,10.9,12.465373961218837,38.504155124653735,160,40,14.8,27,116.34349030470914,0
22034,0,0.12490351620176318,0.44087796690001885,0.9876004582302681,3.456123770930897,5.028328262241827,10445,205,1,0,3.7,1,Autre,6,16.4,22,0,92.4,21740,1516,74,-19.7,15.897097625329815,45.05277044854881,109,24.5,11.5,96,26.2532981530343,7
22035,0,0.3673530993522145,0.20718323993898344,0.09790391890302085,3.654329952563031,4.341342599272098,9498,81,2,0,7.9,0,Autre,6,19.09,22,0,94.1,21900,1042,45,-58.2,13.24376199616123,46.83301343570058,111,55.3,10.9,46,17.274472168905948,5.4
22036,0,0.668884894318426,0,0,4.054218478816705,4.723103373135131,2705,7,0,0,3,0,Autre,7,7.92,22,0,90,21940,210,34,-63.3,13.333333333333334,58.0952380952381,65,26.3,40,5,17.142857142857142,0
22037,1,0.6400553256896039,0.006154908458727904,0.14439501106019997,4.204101681296098,5.062290328436829,5991,0,1,0,19.4,0,Autre,7,23.78,22,0,68.8,18200,384,12,-12.4,16.40625,41.92708333333333,122,25.7,20,20,15.364583333333334,0
22039,0,0.03286353087821743,0,0.32661620479633785,3.920130908838705,4.323646493151296,1465,95,0,0,8.5,0,Autre,6,2.53,22,0,90.9,19280,561,74,128.2,16.755793226381464,38.859180035650624,136,30.3,25.7,35,9.803921568627452,12.9
22040,0,0.07807540922716867,0,0.026588561405381836,2.8568685726896983,2.961532543322249,2837,0,1,0,7.4,0,Autre,6,9.73,22,0,88,21470,567,74,-83.1,14.109347442680775,45.5026455026455,111,41.2,21.4,14,34.92063492063492,5.5
22041,0,0.6648881865184543,0.11032627875304772,3.733353137605636,3.938265937957461,8.47730399372008,6238,38,3,0,17.7,0,Autre,7,8.05,22,0,74.9,19090,261,12,-30.5,16.85823754789272,45.593869731800766,108,26.4,0,17,22.60536398467433,16.7
22042,0,0.5213942757572481,0,0.1642080323377609,3.5209727365932215,4.258666808102511,4932,57,1,0,10.8,0,Autre,6,9.13,22,0,93.8,21020,500,12,44.8,12.4,50.8,100,44.2,15.4,39,16.2,8.3
